BOX,2002_inhabitants,2003_inhabitants,2004_inhabitants,2005_inhabitants,2006_inhabitants,2007_inhabitants,2008_inhabitants,2009_inhabitants,2010_inhabitants,2011_inhabitants,2012_inhabitants,2013_inhabitants,Num_Chicks_Banded,%Successful,with_chicks,w/o_chicks,Total,Years Up,
135,,,,,,,,KESTREL,Failed,KESTREL,Failed,Failed,15,60,3,2,5,5,
136,,,,,,,,EMPTY,Failed,Failed,Empty,KESTREL,2,33.4,1,2,3,5,
137,,,,,,,,EMPTY,Empty,empty,KESTREL,KESTREL,9,100,2,0,2,5,
138,,,,,,,,FAILED,Empty,Starling,KESTREL,KESTREL,10,66.7,2,1,3,5,
139,,,,,,,,FAILED,KESTREL,empty,Failed,Failed,5,25,1,3,4,5,
140,,,, ,,,,FAILED,Down,down,Empty,Empty,0,0,0,1,1,4,
141,,,,,,,,FAILED,Empty,Failed,Empty,Failed,0,33.4,1,2,3,5,
142,,,,,,,,GRACKLE,Failed,grackle,KESTREL,KESTREL,7,66.7,2,1,3,5,
143,,,,,,,,FAILED,Failed,grackle,Empty,Empty,0,0,0,2,2,5,
144,,,,,,,,KESTREL,Grackles,empty,Squirrel,Empty,2,100,1,0,1,5,
145,,,,,,,,KESTREL,Empty,Failed,Empty,KESTREL,3,50,1,1,2,5,
146,,,,,,,,,Put Up,empty,Empty,Empty,0,0,0,0,0,3,
147,,,,,,,,,Put Up,KESTREL,KESTREL,KESTREL,13,100,3,0,3,3,
148,,,,,,,,,Put Up,empty,Failed,Empty,0,0,0,1,1,3,
149,,,,,,,,,Put Up,Failed,Failed,KESTREL,3,33.4,1,2,3,3,
150,,,,,,,,,Put Up,empty,Empty,Failed,0,0,0,1,1,3,
151,,,,,,,,,,,Put Up,Empty,0,0,0,0,0,1,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,, ,,,
